date,symbol,sales
6/3/2011,AAPL,49.06285857
6/6/2011,AAPL,48.29142757
6/7/2011,AAPL,47.43428414
6/8/2011,AAPL,47.46285629
6/9/2011,AAPL,47.35571286
6/10/2011,AAPL,46.55714414
6/13/2011,AAPL,46.65714257
6/14/2011,AAPL,47.49142843
6/15/2011,AAPL,46.67856986
6/16/2011,AAPL,46.45142743
6/17/2011,AAPL,45.75142671
6/20/2011,AAPL,45.04571529
6/21/2011,AAPL,46.47142786
6/22/2011,AAPL,46.087143
6/23/2011,AAPL,47.318573
6/24/2011,AAPL,46.62142943
6/27/2011,AAPL,47.43428414
6/28/2011,AAPL,47.89428714
6/29/2011,AAPL,47.72000129
6/30/2011,AAPL,47.952858
7/1/2011,AAPL,49.03714371
7/5/2011,AAPL,49.91857143
7/6/2011,AAPL,50.25142671
7/7/2011,AAPL,51.02857214
7/8/2011,AAPL,51.38714214
7/11/2011,AAPL,50.57143014
7/12/2011,AAPL,50.53571314
7/13/2011,AAPL,51.14571386
7/14/2011,AAPL,51.11000057
7/15/2011,AAPL,52.13142771
7/18/2011,AAPL,53.40000157
7/19/2011,AAPL,53.83571243
7/20/2011,AAPL,55.27142714
7/21/2011,AAPL,55.32714457
7/22/2011,AAPL,56.18571471
7/25/2011,AAPL,56.92856986
7/26/2011,AAPL,57.630001
7/27/2011,AAPL,56.08428571
7/28/2011,AAPL,55.97428514
7/29/2011,AAPL,55.782856
8/1/2011,AAPL,56.67856986
8/2/2011,AAPL,55.55857086
8/3/2011,AAPL,56.08142857
8/4/2011,AAPL,53.90999986
8/5/2011,AAPL,53.37428671
8/8/2011,AAPL,50.45857243
8/9/2011,AAPL,53.43000029
8/10/2011,AAPL,51.95571514
8/11/2011,AAPL,53.38571543
8/12/2011,AAPL,53.85571286
8/15/2011,AAPL,54.77285771
8/16/2011,AAPL,54.35428614
8/17/2011,AAPL,54.34857171
8/18/2011,AAPL,52.29285814
8/19/2011,AAPL,50.86142729
8/22/2011,AAPL,50.91999814
8/23/2011,AAPL,53.37142943
8/24/2011,AAPL,53.74000171
8/25/2011,AAPL,53.38857271
8/26/2011,AAPL,54.797142
8/29/2011,AAPL,55.70999914
8/30/2011,AAPL,55.71285629
8/31/2011,AAPL,54.97571557
9/1/2011,AAPL,54.43285757
9/2/2011,AAPL,53.43571471
9/6/2011,AAPL,54.24857329
9/7/2011,AAPL,54.84714129
9/8/2011,AAPL,54.87714386
9/9/2011,AAPL,53.92571257
9/12/2011,AAPL,54.27714157
9/13/2011,AAPL,54.945713
9/14/2011,AAPL,55.61428457
9/15/2011,AAPL,56.13714214
9/16/2011,AAPL,57.21428686
9/19/2011,AAPL,58.804287
9/20/2011,AAPL,59.06428529
9/21/2011,AAPL,58.87714386
9/22/2011,AAPL,57.40285871
9/23/2011,AAPL,57.75714114
9/26/2011,AAPL,57.59571457
9/27/2011,AAPL,57.03714371
9/28/2011,AAPL,56.71571357
9/29/2011,AAPL,55.79571529
9/30/2011,AAPL,54.47428514
10/3/2011,AAPL,53.514286
10/4/2011,AAPL,53.21428686
10/5/2011,AAPL,54.03571314
10/6/2011,AAPL,53.90999986
10/7/2011,AAPL,52.82857129
10/10/2011,AAPL,55.54428486
10/11/2011,AAPL,57.18428414
10/12/2011,AAPL,57.45571514
10/13/2011,AAPL,58.34714129
10/14/2011,AAPL,60.28571314
10/17/2011,AAPL,59.99857329
10/18/2011,AAPL,60.31999971
10/19/2011,AAPL,56.945713
10/20/2011,AAPL,56.47285843
10/21/2011,AAPL,56.12428671
10/24/2011,AAPL,57.967144
10/25/2011,AAPL,56.82428743
10/26/2011,AAPL,57.22857286
10/27/2011,AAPL,57.81285857
10/28/2011,AAPL,57.84999843
10/31/2011,AAPL,57.82571414
11/1/2011,AAPL,56.64428714
11/2/2011,AAPL,56.77285771
11/3/2011,AAPL,57.58142857
11/4/2011,AAPL,57.17714314
11/7/2011,AAPL,57.10428614
11/8/2011,AAPL,58.032856
11/9/2011,AAPL,56.46857071
11/10/2011,AAPL,55.03142929
11/11/2011,AAPL,54.945713
11/14/2011,AAPL,54.18000029
11/15/2011,AAPL,55.547142
11/16/2011,AAPL,54.967144
11/17/2011,AAPL,53.91571429
11/18/2011,AAPL,53.56285857
11/21/2011,AAPL,52.71571357
11/22/2011,AAPL,53.78714371
11/23/2011,AAPL,52.42714314
11/25/2011,AAPL,51.938572
11/28/2011,AAPL,53.73143
11/29/2011,AAPL,53.31428529
11/30/2011,AAPL,54.59999843
12/1/2011,AAPL,55.41857143
12/2/2011,AAPL,55.67142871
