,date,symbol,sales
580,4/23/2012,AAPL,16.0
581,4/24/2012,AAPL,16.0
582,4/25/2012,AAPL,17.0
583,4/26/2012,AAPL,17.0
584,4/27/2012,AAPL,17.0
585,4/30/2012,AAPL,16.0
586,5/1/2012,AAPL,16.0
587,5/2/2012,AAPL,16.0
588,5/3/2012,AAPL,16.0
589,5/4/2012,AAPL,16.0
590,5/7/2012,AAPL,16.0
591,5/8/2012,AAPL,16.0
592,5/9/2012,AAPL,16.0
593,5/10/2012,AAPL,16.0
594,5/11/2012,AAPL,16.0
595,5/14/2012,AAPL,15.0
596,5/15/2012,AAPL,15.0
597,5/16/2012,AAPL,15.0
598,5/17/2012,AAPL,15.0
599,5/18/2012,AAPL,15.0
600,5/21/2012,AAPL,16.0
601,5/22/2012,AAPL,15.0
602,5/23/2012,AAPL,16.0
603,5/24/2012,AAPL,16.0
604,5/25/2012,AAPL,16.0
605,5/29/2012,AAPL,16.0
606,5/30/2012,AAPL,16.0
607,5/31/2012,AAPL,16.0
608,6/1/2012,AAPL,16.0
609,6/4/2012,AAPL,16.0
610,6/5/2012,AAPL,16.0
611,6/6/2012,AAPL,16.0
612,6/7/2012,AAPL,16.0
613,6/8/2012,AAPL,16.0
614,6/11/2012,AAPL,16.0
615,6/12/2012,AAPL,16.0
616,6/13/2012,AAPL,16.0
617,6/14/2012,AAPL,16.0
618,6/15/2012,AAPL,16.0
619,6/18/2012,AAPL,16.0
620,6/19/2012,AAPL,16.0
621,6/20/2012,AAPL,16.0
622,6/21/2012,AAPL,16.0
623,6/22/2012,AAPL,16.0
624,6/25/2012,AAPL,16.0
625,6/26/2012,AAPL,16.0
626,6/27/2012,AAPL,16.0
627,6/28/2012,AAPL,16.0
628,6/29/2012,AAPL,16.0
629,7/2/2012,AAPL,16.0
630,7/3/2012,AAPL,17.0
631,7/5/2012,AAPL,17.0
632,7/6/2012,AAPL,17.0
633,7/9/2012,AAPL,17.0
634,7/10/2012,AAPL,17.0
635,7/11/2012,AAPL,17.0
636,7/12/2012,AAPL,17.0
637,7/13/2012,AAPL,17.0
